PROPERTY.STREET.ADDRESS.OR.STOREFRONT.ADDRESS,LATITUDE,LONGITUDE,PRIMARY.BUSINESS.ACTIVITY,COMMUNITY.BOARD,IMPACTED
219 EAST BROADWAY,40.7140653,-73.9872918,RETAIL,103.0,False
219 EAST BROADWAY,40.7140653,-73.9872918,RETAIL,103.0,False
25 ESSEX STREET,40.7155258,-73.9900367,RETAIL,103.0,True
25 ESSEX STREET,40.7155258,-73.9900367,RETAIL,103.0,True
21 ESSEX STREET,40.715394,-73.9901016,RETAIL,103.0,False
27 CANAL ST,40.7147161,-73.9905202,RETAIL,103.0,False
27 CANAL ST,40.7147161,-73.9905202,RETAIL,103.0,False
23 CANAL ST,40.7147161,-73.9905202,RETAIL,103.0,False
23 CANAL ST,40.7147161,-73.9905202,RETAIL,103.0,False
33 CANAL STREET,40.7147491,-73.9907871,RETAIL,103.0,False
16A Orchard street,40.715076,-73.99157,RETAIL,103.0,True
21 LUDLOW STREET,40.715392,-73.991021,RETAIL,103.0,False
30 ORCHARD STREET,40.7156,-73.9912,RETAIL,103.0,False
289 Grand,40.7174802,-73.9924533,RETAIL,103.0,False
47 ORCHARD STREET,40.7164426,-73.9913604,RETAIL,103.0,False
62 BAYARD STREET,40.7155921,-73.9978573,RETAIL,103.0,False
40 BOWERY,40.7155618,-73.9969266,RETAIL,103.0,True
200 HUDSON STREET,40.7229231,-74.0076555,RETAIL,101.0,True
385 Canal Street,40.7217155,-74.0046899,RETAIL,102.0,False
75 Grand Street,40.7216113,-74.0026588,RETAIL,102.0,False
79 Grand Street,40.7216113,-74.0026588,RETAIL,102.0,False
81 Grand Street,40.7216113,-74.0026588,RETAIL,102.0,False
83 Grand Street,40.7216113,-74.0026588,RETAIL,102.0,False
85 Grand Street,40.7216113,-74.0026588,RETAIL,102.0,False
203 GRAND STREET,40.7189132,-73.9967244,RETAIL,102.0,False
203 GRAND STREET,40.7189132,-73.9967244,RETAIL,102.0,False
104 BOWERY,40.7179388,-73.995433,RETAIL,102.0,True
33 Market Street,40.7125727,-73.9946687,RETAIL,103.0,False
45 EAST BROADWAY,40.7133687,-73.9959022,RETAIL,103.0,False
375 1 AVENUE,40.7362583,-73.9794104,RETAIL,106.0,False
2927 3 AVENUE,40.8175506,-73.9160597,RETAIL,201.0,False
2927 3 AVENUE,40.8175506,-73.9160597,RETAIL,201.0,False
57 WARREN STREET,40.71462,-74.009487,RETAIL,101.0,False
2927 3 AVENUE,40.8175506,-73.9160597,RETAIL,201.0,False
2917 3 AVENUE,40.8174134,-73.9161682,RETAIL,201.0,False
2917 3 AVENUE,40.8174134,-73.9161682,RETAIL,201.0,False
10 Warren Street,40.714085,-74.007214,RETAIL,101.0,True
4226 3 AVENUE,40.847399,-73.8954775,RETAIL,206.0,False
97 CHAMBERS STREET,40.7150511,-74.007449,RETAIL,101.0,False
280 BROADWAY,40.7142333,-74.0056525,RETAIL,101.0,False
69 BAYARD STREET,40.7154219,-73.9983984,RETAIL,103.0,True
22B BOWERY,40.7147933,-73.9973847,RETAIL,103.0,False
99 Battery 99 BATTERY PLACE,40.70762,-74.0165,RETAIL,101.0,False
2 SOUTH END AVE,40.70792,-74.0172,RETAIL,101.0,False
2 SOUTH END AVE,40.70792,-74.0172,RETAIL,101.0,False
170 BROADWAY,40.709532,-74.009833,RETAIL,101.0,True
6 PELL ST,40.7147933,-73.9973847,RETAIL,103.0,False
8 PELL ST,40.7147933,-73.9973847,RETAIL,103.0,False
217 WEST BROADWAY,40.7190091,-74.0060858,RETAIL,101.0,False
225 WEST BROADWAY,40.7192177,-74.0060281,RETAIL,101.0,False
117 HUDSON STREET,40.7198269,-74.0089611,RETAIL,101.0,True
24 STATE STREET,40.7033469,-74.0137305,RETAIL,101.0,False
22 STONE STREET,40.7038054,-74.0119525,RETAIL,101.0,True
33 BRIDGE STREET,40.7038054,-74.0119525,RETAIL,101.0,True
16 Beaver,40.7048237,-74.0125009,RETAIL,101.0,False
15 Stone St,40.7042,-74.012,RETAIL,101.0,False
11 Broadway,40.7052819,-74.0142719,RETAIL,101.0,False
9 Broadway,40.7052819,-74.0142719,RETAIL,101.0,False
311 SOUTH END AVENUE,40.7110565,-74.0170361,RETAIL,101.0,False
