"geocoding"
"548 LEONARD STREET , New York NY"
"8 VERMONT COURT , New York NY"
"786 PARK PLACE , New York NY"
"71 GRAND STREET , New York NY"
"1772 BERGEN STREET , New York NY"
"1068 FULTON STREET , New York NY"
"67 CENTRAL AVENUE , New York NY"
"832 HERKIMER STREET , New York NY"
"233 ST MARKS AVENUE , New York NY"
"28 7 AVENUE , New York NY"
"511 MACON STREET , New York NY"
"66 MAUJER STREET , New York NY"
"679 EVERGREEN AVENUE , New York NY"
"7506 3 AVENUE , New York NY"
"2012 CONEY ISLAND AVENUE , New York NY"
"2799 CONEY ISLAND AVENUE , New York NY"
"2 PRINCE STREET , New York NY"
"916 BERGEN STREET , New York NY"
"5823 4 AVENUE , New York NY"
"20 WILLOW STREET , New York NY"
"489 HANCOCK STREET , New York NY"
"1543 EAST NEW YORK AVENUE , New York NY"
"1547 EAST NEW YORK AVENUE , New York NY"
"54 THROOP AVENUE , New York NY"
"1167 NOSTRAND AVENUE , New York NY"
"1068 FULTON STREET , New York NY"
"115 WILLIAMS AVENUE , New York NY"
"2001 NOSTRAND AVENUE , New York NY"
"511 HERKIMER STREET , New York NY"
"356 BALTIC STREET , New York NY"
"287 MAPLE STREET , New York NY"
"5718 2 AVENUE , New York NY"
"290 EAST 53 STREET , New York NY"
"885 GRAND STREET , New York NY"
"999 BLAKE AVENUE , New York NY"
"734 5 AVENUE , New York NY"
"96 16 STREET , New York NY"
"319 BROADWAY , New York NY"
"8324 4 AVENUE , New York NY"
"2885 OCEAN AVENUE , New York NY"
"1479 LINCOLN PLACE , New York NY"
"126 WATERBURY STREET , New York NY"
"120 WATERBURY STREET , New York NY"
"132 39 STREET , New York NY"
"1258 54 STREET , New York NY"
"148 39 STREET , New York NY"
"70 SEIGEL STREET , New York NY"
"2926 FULTON STREET , New York NY"
"14 STAGG STREET , New York NY"
"271 SEA BREEZE AVENUE , New York NY"
"176 JOHNSON STREET , New York NY"
"218 KENT AVENUE , New York NY"
"2357 60 STREET , New York NY"
"264 BUSHWICK AVENUE , New York NY"
