,Reporting.Year,BOROUGH.BLOCK.LOT,PROPERTY.STREET.ADDRESS.OR.STOREFRONT.ADDRESS,BOROUGH,ZIP.CODE,SOLD.DATE,VACANT.ON.12.31,CONSTRUCTION.REPORTED,VACANT.6.30.OR.DATE.SOLD.IF.EARLIER,PRIMARY.BUSINESS.ACTIVITY,PROPERTY.NUMBER,PROPERTY.STREET,UNIT,BOROUGH.1,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY.BOARD,COUNCIL.DISTRICT,CENSUS.TRACT,BIN,BBL,NTA,NBHD
1,2022 and 2023,1002850016,219 EAST BROADWAY,MANHATTAN,10002,,NO,,,RETAIL,219,EAST BROADWAY,,Manhattan,10002,40.7140653,-73.9872918,103,1,600,1003695,1002850016,MN0301,Chinatown-Two Bridges
2,2022 and 2023,1002850016,219 EAST BROADWAY,MANHATTAN,10002,,NO,,,RETAIL,219,EAST BROADWAY,,Manhattan,10002,40.7140653,-73.9872918,103,1,600,1003695,1002850016,MN0301,Chinatown-Two Bridges
3,2022 and 2023,1002970017,25 ESSEX STREET,MANHATTAN,10002,,NO,,,RETAIL,25,ESSEX STREET,,Manhattan,10002,40.7155258,-73.9900367,103,1,1600,1078949,1002970017,MN0301,Chinatown-Two Bridges
4,2022 and 2023,1002970017,25 ESSEX STREET,MANHATTAN,10002,,NO,,,RETAIL,25,ESSEX STREET,,Manhattan,10002,40.7155258,-73.9900367,103,1,1600,1078949,1002970017,MN0301,Chinatown-Two Bridges
5,2022 and 2023,1002970019,21 ESSEX STREET,MANHATTAN,10002,,NO,,,RETAIL,21,ESSEX STREET,,Manhattan,10002,40.715394,-73.9901016,103,1,1600,1003813,1002970019,MN0301,Chinatown-Two Bridges
6,2022 and 2023,1002970030,27 CANAL ST,MANHATTAN,10002,,NO,,,RETAIL,23,CANAL STREET,,Manhattan,10002,40.7147161,-73.9905202,103,1,1600,1078950,1002970030,MN0301,Chinatown-Two Bridges
7,2022 and 2023,1002970030,27 CANAL ST,MANHATTAN,10002,,NO,,,RETAIL,23,CANAL STREET,,Manhattan,10002,40.7147161,-73.9905202,103,1,1600,1078950,1002970030,MN0301,Chinatown-Two Bridges
8,2022 and 2023,1002970030,23 CANAL ST,MANHATTAN,10002,,NO,,,RETAIL,23,CANAL STREET,,Manhattan,10002,40.7147161,-73.9905202,103,1,1600,1078950,1002970030,MN0301,Chinatown-Two Bridges
9,2022 and 2023,1002970030,23 CANAL ST,MANHATTAN,10002,,NO,,,RETAIL,23,CANAL STREET,,Manhattan,10002,40.7147161,-73.9905202,103,1,1600,1078950,1002970030,MN0301,Chinatown-Two Bridges
10,2022 and 2023,1002970035,33 CANAL STREET,MANHATTAN,10002,,NO,,,RETAIL,33,CANAL STREET,,Manhattan,10002,40.7147491,-73.9907871,103,1,1600,1003824,1002970035,MN0301,Chinatown-Two Bridges
11,2022 and 2023,1002981005,16A Orchard street,MANHATTAN,10002,,NO,,,RETAIL,51,CANAL STREET,C5,Manhattan,10002,40.715076,-73.99157,103,1,1600,1075788,1002981005,MN0301,Chinatown-Two Bridges
12,2022 and 2023,1002981203,21 LUDLOW STREET,MANHATTAN,10002,,NO,,,RETAIL,21,LUDLOW STREET,1,Manhattan,10002,40.715392,-73.991021,103,1,1600,1003853,1002981203,MN0301,Chinatown-Two Bridges
13,2022 and 2023,1002981301,30 ORCHARD STREET,MANHATTAN,10002,,NO,,,RETAIL,30,ORCHARD STREET,COMML,Manhattan,10002,40.7156,-73.9912,103,1,1600,1003845,1002981301,MN0301,Chinatown-Two Bridges
14,2022 and 2023,1003060023,289 Grand,MANHATTAN,10002,,NO,,,RETAIL,289,GRAND STREET,,Manhattan,10002,40.7174802,-73.9924533,103,1,1600,1003961,1003060023,MN0301,Chinatown-Two Bridges
15,2022 and 2023,1003080024,47 ORCHARD STREET,MANHATTAN,10002,,NO,,,RETAIL,47,ORCHARD STREET,,Manhattan,10002,40.7164426,-73.9913604,103,1,1600,1003992,1003080024,MN0301,Chinatown-Two Bridges
16,2022 and 2023,1002010030,62 BAYARD STREET,MANHATTAN,10013,,NO,,,RETAIL,62,BAYARD STREET,,Manhattan,10013,40.7155921,-73.9978573,103,1,2902,1002421,1002010030,MN0301,Chinatown-Two Bridges
17,2022 and 2023,1002020030,40 BOWERY,MANHATTAN,10013,,NO,,,RETAIL,40,BOWERY,,Manhattan,10013,40.7155618,-73.9969266,103,1,2902,1002433,1002020030,MN0301,Chinatown-Two Bridges
18,2022 and 2023,1002210030,200 HUDSON STREET,MANHATTAN,10013,,NO,,,RETAIL,200,HUDSON STREET,,Manhattan,10013,40.7229231,-74.0076555,101,1,3300,1002854,1002210030,MN0102,Tribeca-Civic Center
19,2022 and 2023,1002270003,385 Canal Street,MANHATTAN,10013,,NO,,,RETAIL,385,CANAL STREET,,Manhattan,10013,40.7217155,-74.0046899,102,1,4700,1002937,1002270003,MN0201,SoHo-Little Italy-Hudson Square
20,2022 and 2023,1002290022,75 Grand Street,MANHATTAN,10013,,NO,,,RETAIL,75,GRAND STREET,,Manhattan,10013,40.7216113,-74.0026588,102,1,4700,1077408,1002290022,MN0201,SoHo-Little Italy-Hudson Square
21,2022 and 2023,1002290022,79 Grand Street,MANHATTAN,10013,,NO,,,RETAIL,75,GRAND STREET,,Manhattan,10013,40.7216113,-74.0026588,102,1,4700,1077408,1002290022,MN0201,SoHo-Little Italy-Hudson Square
22,2022 and 2023,1002290022,81 Grand Street,MANHATTAN,10013,,NO,,,RETAIL,75,GRAND STREET,,Manhattan,10013,40.7216113,-74.0026588,102,1,4700,1077408,1002290022,MN0201,SoHo-Little Italy-Hudson Square
23,2022 and 2023,1002290022,83 Grand Street,MANHATTAN,10013,,NO,,,RETAIL,75,GRAND STREET,,Manhattan,10013,40.7216113,-74.0026588,102,1,4700,1077408,1002290022,MN0201,SoHo-Little Italy-Hudson Square
24,2022 and 2023,1002290022,85 Grand Street,MANHATTAN,10013,,NO,,,RETAIL,75,GRAND STREET,,Manhattan,10013,40.7216113,-74.0026588,102,1,4700,1077408,1002290022,MN0201,SoHo-Little Italy-Hudson Square
25,2022 and 2023,1002370017,203 GRAND STREET,MANHATTAN,10013,,NO,,,RETAIL,203,GRAND STREET,,Manhattan,10013,40.7189132,-73.9967244,102,1,4100,1003091,1002370017,MN0201,SoHo-Little Italy-Hudson Square
26,2022 and 2023,1002370017,203 GRAND STREET,MANHATTAN,10013,,NO,,,RETAIL,203,GRAND STREET,,Manhattan,10013,40.7189132,-73.9967244,102,1,4100,1003091,1002370017,MN0201,SoHo-Little Italy-Hudson Square
27,2022 and 2023,1002390029,104 BOWERY,MANHATTAN,10013,,NO,,,RETAIL,104,BOWERY,,Manhattan,10013,40.7179388,-73.995433,102,1,4100,1003130,1002390029,MN0201,SoHo-Little Italy-Hudson Square
28,2022 and 2023,1002770022,33 Market Street,MANHATTAN,10002,,NO,,,RETAIL,31,MARKET STREET,,Manhattan,10002,40.7125727,-73.9946687,103,1,800,1003340,1002770022,MN0301,Chinatown-Two Bridges
29,2022 and 2023,1002800038,45 EAST BROADWAY,MANHATTAN,10002,,NO,,,RETAIL,45,EAST BROADWAY,,Manhattan,10002,40.7133687,-73.9959022,103,1,800,1003421,1002800038,MN0301,Chinatown-Two Bridges
30,2022 and 2023,1009270032,375 1 AVENUE,MANHATTAN,10010,,NO,,,RETAIL,375,1 AVENUE,,Manhattan,10010,40.7362583,-73.9794104,106,2,6400,1020558,1009270032,MN0602,Gramercy
31,2022 and 2023,2023740051,2927 3 AVENUE,BRONX,10455,,NO,,,RETAIL,2927,3 AVENUE,,Bronx,10455,40.8175506,-73.9160597,201,17,6700,2001351,2023740051,BX0102,Melrose
32,2022 and 2023,2023740051,2927 3 AVENUE,BRONX,10455,,NO,,,RETAIL,2927,3 AVENUE,,Bronx,10455,40.8175506,-73.9160597,201,17,6700,2001351,2023740051,BX0102,Melrose
33,2022 and 2023,1001330019,57 WARREN STREET,MANHATTAN,10007,,NO,,,RETAIL,57,WARREN STREET,,Manhattan,10007,40.71462,-74.009487,101,1,2100,1077241,1001330019,MN0102,Tribeca-Civic Center
34,2022 and 2023,2023740051,2927 3 AVENUE,BRONX,10455,,NO,,,RETAIL,2927,3 AVENUE,,Bronx,10455,40.8175506,-73.9160597,201,17,6700,2001351,2023740051,BX0102,Melrose
35,2022 and 2023,2023740056,2917 3 AVENUE,BRONX,10455,,NO,,,RETAIL,2917,3 AVENUE,,Bronx,10455,40.8174134,-73.9161682,201,17,6700,2092344,2023740056,BX0102,Melrose
36,2022 and 2023,2023740056,2917 3 AVENUE,BRONX,10455,,NO,,,RETAIL,2917,3 AVENUE,,Bronx,10455,40.8174134,-73.9161682,201,17,6700,2092344,2023740056,BX0102,Melrose
37,2022 and 2023,1001351301,10 Warren Street,MANHATTAN,10007,,NO,,,RETAIL,8,WARREN STREET,COMM,Manhattan,10007,40.714085,-74.007214,101,1,2100,1079154,1001351301,MN0102,Tribeca-Civic Center
38,2022 and 2023,2030600008,4226 3 AVENUE,BRONX,10457,,NO,,,RETAIL,4226,3 AVENUE,,Bronx,10457,40.847399,-73.8954775,206,15,37504,2011822,2030600008,BX0602,Tremont
